종목명,종목코드,초기 자본,2025년 10월 15일 수요일 9:00,,,,,,,2025년 10월 16일 목요일 9:00,,,,,,,,2025년 10월 17일 금요일 9:00,,,,,,,,2025년 10월 20일 월요일 9:00,,,,,,,,2025년 10월 21일 화요일 9:00,,,,,,,,2025년 10월 22일 수요일 9:00,,,,,,,,2025년 10월 23일 목요일 9:00,,,,,,,,2025년 10월 24일 금요일 9:00,,,,,,,,2025년 10월 27일 월요일 9:00,,,,,,,,2025년 10월 28일 화요일 9:00,,,,,,,,2025년 10월 29일 수요일 9:00,,,,,,,,2025년 10월 30일 목요일 9:00,,,,,,,,2025년 10월 31일 금요일 9:00,,,,,,,,2025년 11월 1일 토요일 9:00,,,,,,,
,,"₩2,000,000",사유,거래,종가,보유 주식수,잔고,자산현황,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률
한국단자공업               ,025540,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	61,400",32,"₩	35,200","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	61,200",32,"₩	35,200","₩	1,993,600","₩6,400",0.32%,보유,HOLD,"₩	61,700",32,"₩	35,200","₩	2,009,600","₩9,600",0.48%,보유,HOLD,"₩	61,900",32,"₩	35,200","₩	2,016,000","₩16,000",0.80%,보유,HOLD,"₩	61,900",32,"₩	35,200","₩	2,016,000","₩16,000",0.80%
환인제약                 ,016580,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	11,560",173,₩	120,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	11,500",173,₩	120,"₩	1,989,620","₩10,380",0.52%,보유,HOLD,"₩	11,500",173,₩	120,"₩	1,989,620","₩10,380",0.52%,보유,HOLD,"₩	11,340",173,₩	120,"₩	1,961,940","₩38,060",1.90%,보유,HOLD,"₩	11,400",173,₩	120,"₩	1,972,320","₩27,680",1.38%
동원시스템즈               ,014820,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	30,200",66,"₩	6,800","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	30,050",66,"₩	6,800","₩	1,990,100","₩9,900",0.50%,보유,HOLD,"₩	29,600",66,"₩	6,800","₩	1,960,400","₩39,600",1.98%,보유,HOLD,"₩	28,700",66,"₩	6,800","₩	1,901,000","₩99,000",4.95%,손절,SELL,"₩	28,000",66,"₩	6,800","₩	1,854,800","₩145,200",7.26%
대한해운                 ,005880,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	1,837","1,088","₩	1,344","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	1,877","1,088","₩	1,344","₩	2,043,520","₩43,520",2.18%,보유,HOLD,"₩	1,875","1,088","₩	1,344","₩	2,041,344","₩41,344",2.07%,보유,HOLD,"₩	1,890","1,088","₩	1,344","₩	2,057,664","₩57,664",2.88%,보유,HOLD,"₩	1,878","1,088","₩	1,344","₩	2,044,608","₩44,608",2.23%
한성기업                 ,003680,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	5,570",359,₩	370,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	5,540",359,₩	370,"₩	1,989,230","₩10,770",0.54%,보유,HOLD,"₩	5,410",359,₩	370,"₩	1,942,560","₩57,440",2.87%,데드크로스,SELL,"₩	5,250",359,₩	370,"₩	1,885,120","₩114,880",5.74%,-,-,"₩	5,290",0,"₩	1,885,120","₩	1,885,120","₩114,880",5.74%
보령                   ,003850,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	8,790",227,"₩	4,670","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	8,840",227,"₩	4,670","₩	2,011,350","₩11,350",0.57%,보유,HOLD,"₩	8,900",227,"₩	4,670","₩	2,024,970","₩24,970",1.25%,보유,HOLD,"₩	8,840",227,"₩	4,670","₩	2,011,350","₩11,350",0.57%,보유,HOLD,"₩	8,830",227,"₩	4,670","₩	2,009,080","₩9,080",0.45%
우성                   ,006980,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	16,990",117,"₩	12,170","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	17,050",117,"₩	12,170","₩	2,007,020","₩7,020",0.35%,보유,HOLD,"₩	17,090",117,"₩	12,170","₩	2,011,700","₩11,700",0.59%,보유,HOLD,"₩	16,740",117,"₩	12,170","₩	1,970,750","₩29,250",1.46%,보유,HOLD,"₩	17,070",117,"₩	12,170","₩	2,009,360","₩9,360",0.47%
대한화섬                 ,003830,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	119,200",16,"₩	92,800","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	122,000",16,"₩	92,800","₩	2,044,800","₩44,800",2.24%,보유,HOLD,"₩	120,000",16,"₩	92,800","₩	2,012,800","₩12,800",0.64%,보유,HOLD,"₩	118,600",16,"₩	92,800","₩	1,990,400","₩9,600",0.48%,손절,SELL,"₩	117,100",16,"₩	92,800","₩	1,966,400","₩33,600",1.68%
녹십자홀딩스               ,005250,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	16,220",123,"₩	4,940","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	16,280",123,"₩	4,940","₩	2,007,380","₩7,380",0.37%,보유,HOLD,"₩	16,290",123,"₩	4,940","₩	2,008,610","₩8,610",0.43%,손절,SELL,"₩	15,820",123,"₩	4,940","₩	1,950,800","₩49,200",2.46%,-,-,"₩	15,760",0,"₩	1,950,800","₩	1,950,800","₩49,200",2.46%
삼영                   ,003720,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	5,180",386,₩	520,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	5,280",386,₩	520,"₩	2,038,600","₩38,600",1.93%,보유,HOLD,"₩	5,010",386,₩	520,"₩	1,934,380","₩65,620",3.28%,보유,HOLD,"₩	5,270",386,₩	520,"₩	2,034,740","₩34,740",1.74%,보유,HOLD,"₩	4,930",386,₩	520,"₩	1,903,500","₩96,500",4.83%
솔루엠,248070,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	18,250",109,"₩	10,750","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	18,100",109,"₩	10,750","₩	1,983,650","₩16,350",0.82%,손절,SELL,"₩	17,850",109,"₩	10,750","₩	1,956,400","₩43,600",2.18%,-,-,"₩	17,900",0,"₩	1,956,400","₩	1,956,400","₩43,600",2.18%
카카오,035720,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	63,700",31,"₩	25,300","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	67,700",31,"₩	25,300","₩	2,124,000","₩124,000",6.20%,보유,HOLD,"₩	63,500",31,"₩	25,300","₩	1,993,800","₩6,200",0.31%,보유,HOLD,"₩	65,100",31,"₩	25,300","₩	2,043,400","₩43,400",2.17%
모나용평,070960,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	4,075",490,"₩	3,250","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,805",490,"₩	3,250","₩	1,867,700","₩132,300",6.62%,보유,HOLD,"₩	3,550",490,"₩	3,250","₩	1,742,750","₩257,250",12.86%,보유,HOLD,"₩	3,480",490,"₩	3,250","₩	1,708,450","₩291,550",14.58%
LIG넥스원,079550,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	504,000",3,"₩	488,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	511,000",3,"₩	488,000","₩	2,021,000","₩21,000",1.05%,보유,HOLD,"₩	513,000",3,"₩	488,000","₩	2,027,000","₩27,000",1.35%,보유,HOLD,"₩	519,000",3,"₩	488,000","₩	2,045,000","₩45,000",2.25%
씨에스윈드,112610,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	45,750",43,"₩	32,750","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	45,650",43,"₩	32,750","₩	1,995,700","₩4,300",0.22%,보유,HOLD,"₩	44,400",43,"₩	32,750","₩	1,941,950","₩58,050",2.90%,보유,HOLD,"₩	43,650",43,"₩	32,750","₩	1,909,700","₩90,300",4.52%
한국화장품,123690,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	10,430",191,"₩	7,870","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	10,220",191,"₩	7,870","₩	1,959,890","₩40,110",2.01%,보유,HOLD,"₩	12,750",191,"₩	7,870","₩	2,443,120","₩443,120",22.16%,보유,HOLD,"₩	12,210",191,"₩	7,870","₩	2,339,980","₩339,980",17.00%
코오롱인더,120110,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	37,050",53,"₩	36,350","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	37,100",53,"₩	36,350","₩	2,002,650","₩2,650",0.13%,데드크로스,SELL,"₩	36,200",53,"₩	36,350","₩	1,954,950","₩45,050",2.25%,-,-,"₩	35,600",0,"₩	1,954,950","₩	1,954,950","₩45,050",2.25%
대원제약,003220,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	13,160",151,"₩	12,840","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	13,150",151,"₩	12,840","₩	1,998,490","₩1,510",0.08%,보유,HOLD,"₩	13,060",151,"₩	12,840","₩	1,984,900","₩15,100",0.76%,데드크로스,SELL,"₩	13,010",151,"₩	12,840","₩	1,977,350","₩22,650",1.13%
SK가스,018670,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	255,000",7,"₩	215,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	252,000",7,"₩	215,000","₩	1,979,000","₩21,000",1.05%,보유,HOLD,"₩	252,000",7,"₩	215,000","₩	1,979,000","₩21,000",1.05%,보유,HOLD,"₩	260,500",7,"₩	215,000","₩	2,038,500","₩38,500",1.93%
동남합성,023450,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	32,750",61,"₩	2,250","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	32,500",61,"₩	2,250","₩	1,984,750","₩15,250",0.76%,보유,HOLD,"₩	32,300",61,"₩	2,250","₩	1,972,550","₩27,450",1.37%,보유,HOLD,"₩	31,800",61,"₩	2,250","₩	1,942,050","₩57,950",2.90%
현대해상,001450,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	28,000",71,"₩	12,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	27,800",71,"₩	12,000","₩	1,985,800","₩14,200",0.71%,보유,HOLD,"₩	27,700",71,"₩	12,000","₩	1,978,700","₩21,300",1.07%,보유,HOLD,"₩	27,300",71,"₩	12,000","₩	1,950,300","₩49,700",2.49%
동방,004140,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	3,080",649,"₩	1,080","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,035",649,"₩	1,080","₩	1,970,795","₩29,205",1.46%,데드크로스,SELL,"₩	2,930",649,"₩	1,080","₩	1,902,650","₩97,350",4.87%,-,-,"₩	2,780",0,"₩	1,902,650","₩	1,902,650","₩97,350",4.87%
가온전선,000500,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	62,300",32,"₩	6,400","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	68,800",32,"₩	6,400","₩	2,208,000","₩208,000",10.40%,보유,HOLD,"₩	74,000",32,"₩	6,400","₩	2,374,400","₩374,400",18.72%,보유,HOLD,"₩	84,000",32,"₩	6,400","₩	2,694,400","₩694,400",34.72%
인스코비,006490,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,₩	782,"2,557",₩	426,"₩	2,000,000",₩0,0.00%,보유,HOLD,₩	749,"2,557",₩	426,"₩	1,915,619","₩84,381",4.22%,보유,HOLD,₩	742,"2,557",₩	426,"₩	1,897,720","₩102,280",5.11%,보유,HOLD,₩	743,"2,557",₩	426,"₩	1,900,277","₩99,723",4.99%
동부건설,005960,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	6,040",331,₩	760,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	5,920",331,₩	760,"₩	1,960,280","₩39,720",1.99%,보유,HOLD,"₩	5,900",331,₩	760,"₩	1,953,660","₩46,340",2.32%,보유,HOLD,"₩	5,770",331,₩	760,"₩	1,910,630","₩89,370",4.47%
신한서부티엔디리츠,404990,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	3,515",568,"₩	3,480","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,500",568,"₩	3,480","₩	1,991,480","₩8,520",0.43%,보유,HOLD,"₩	3,480",568,"₩	3,480","₩	1,980,120","₩19,880",0.99%
현대오토에버,307950,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	161,700",12,"₩	59,600","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	161,400",12,"₩	59,600","₩	1,996,400","₩3,600",0.18%,보유,HOLD,"₩	203,500",12,"₩	59,600","₩	2,501,600","₩501,600",25.08%
미원에스씨,268280,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	140,900",14,"₩	27,400","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	137,300",14,"₩	27,400","₩	1,949,600","₩50,400",2.52%,보유,HOLD,"₩	140,500",14,"₩	27,400","₩	1,994,400","₩5,600",0.28%
덴티움,145720,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	58,400",34,"₩	14,400","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	57,000",34,"₩	14,400","₩	1,952,400","₩47,600",2.38%,보유,HOLD,"₩	57,000",34,"₩	14,400","₩	1,952,400","₩47,600",2.38%
동서,026960,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	27,750",72,"₩	2,000","₩	2,000,000",₩0,0.00%,데드크로스,SELL,"₩	27,200",72,"₩	2,000","₩	1,960,400","₩39,600",1.98%,-,-,"₩	27,000",0,"₩	1,960,400","₩	1,960,400","₩39,600",1.98%
한솔제지,213500,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	8,500",235,"₩	2,500","₩	2,000,000",₩0,0.00%,데드크로스,SELL,"₩	8,230",235,"₩	2,500","₩	1,936,550","₩63,450",3.17%,-,-,"₩	8,130",0,"₩	1,936,550","₩	1,936,550","₩63,450",3.17%
LF,093050,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	18,370",108,"₩	16,040","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	18,300",108,"₩	16,040","₩	1,992,440","₩7,560",0.38%,데드크로스,SELL,"₩	18,270",108,"₩	16,040","₩	1,989,200","₩10,800",0.54%
대상홀딩스,084690,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	9,360",213,"₩	6,320","₩	2,000,000",₩0,0.00%,데드크로스,SELL,"₩	9,230",213,"₩	6,320","₩	1,972,310","₩27,690",1.38%,-,-,"₩	9,240",0,"₩	1,972,310","₩	1,972,310","₩27,690",1.38%
HL D&I,014790,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	2,455",814,"₩	1,630","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	2,460",814,"₩	1,630","₩	2,004,070","₩4,070",0.20%,보유,HOLD,"₩	2,410",814,"₩	1,630","₩	1,963,370","₩36,630",1.83%
화승인더스트리,006060,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	4,045",494,"₩	1,770","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	4,105",494,"₩	1,770","₩	2,029,640","₩29,640",1.48%,손절,SELL,"₩	3,990",494,"₩	1,770","₩	1,972,830","₩27,170",1.36%
서흥,008490,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	27,600",72,"₩	12,800","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	27,600",72,"₩	12,800","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	26,750",72,"₩	12,800","₩	1,938,800","₩61,200",3.06%
DL,000210,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	41,600",48,"₩	3,200","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	39,800",48,"₩	3,200","₩	1,913,600","₩86,400",4.32%,보유,HOLD,"₩	38,950",48,"₩	3,200","₩	1,872,800","₩127,200",6.36%
DL이앤씨,375500,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	42,700",46,"₩	35,800","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	42,700",46,"₩	35,800","₩	2,000,000",₩0,0.00%
드림텍,192650,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	6,340",315,"₩	2,900","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	6,400",315,"₩	2,900","₩	2,018,900","₩18,900",0.95%
유니퀘스트,077500,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	7,690",260,₩	600,"₩	2,000,000",₩0,0.00%
NICE,034310,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	13,870",144,"₩	2,720","₩	2,000,000",₩0,0.00%
한미사이언스,008930,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	39,400",50,"₩	30,000","₩	2,000,000",₩0,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
